Deleted: id_materi=5, id_guru=1, file_path=Uploads/materi/1746525586_Pertemuan 1.pptx
Deleted: id_materi=6, id_guru=1, file_path=Uploads/materi/1746525611_Krs Semester 6.pdf
Deleted: id_materi=15, id_guru=1, file_path=Uploads/materi/1746526843_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=16, id_guru=1, file_path=Uploads/materi/1746526855_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=14, id_guru=1, file_path=Uploads/materi/1746526823_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=7, id_guru=1, file_path=Uploads/materi/1746525652_LKM PGRI 2025.docx
Deleted: id_materi=8, id_guru=1, file_path=Uploads/materi/1746525813_LKM PGRI 2025.docx
Deleted: id_materi=9, id_guru=1, file_path=Uploads/materi/1746526207_LKM PGRI 2025.docx
Deleted: id_materi=10, id_guru=1, file_path=Uploads/materi/1746526503_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=11, id_guru=1, file_path=Uploads/materi/1746526524_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=4, id_guru=1, file_path=Uploads/materi/1746525558_0.5 Kata Sambutan kapro.mp4
Deleted: id_materi=12, id_guru=1, file_path=Uploads/materi/1746526541_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=13, id_guru=1, file_path=Uploads/materi/1746526730_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Deleted: id_materi=17, id_guru=1, file_path=Uploads/materi/1746528512_Pertemuan 1.pptx
Deleted: id_materi=18, id_guru=1, file_path=Uploads/materi/1746528982_0.2 MARS UPGRI PONTIANAK.mp4
Deleted: id_materi=19, id_guru=1, file_path=Uploads/materi/1746533078_0.0 animasi banner fix.mp4
Deleted: id_materi=20, id_guru=1, file_path=Uploads/materi/1746534594_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
