Inserted: id_guru=1, judul=ppt, deskripsi=test, jenis_file=video, file_path=Uploads/materi/1746525558_0.5 Kata Sambutan kapro.mp4
Inserted: id_guru=1, judul=ppt, deskripsi=ppt, jenis_file=ppt, file_path=Uploads/materi/1746525586_Pertemuan 1.pptx
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746525611_Krs Semester 6.pdf
Inserted: id_guru=1, judul=wword, deskripsi=word, jenis_file=dokumen, file_path=Uploads/materi/1746525652_LKM PGRI 2025.docx
Inserted: id_guru=1, judul=wword, deskripsi=word, jenis_file=dokumen, file_path=Uploads/materi/1746525813_LKM PGRI 2025.docx
Inserted: id_guru=1, judul=wword, deskripsi=word, jenis_file=dokumen, file_path=Uploads/materi/1746526207_LKM PGRI 2025.docx
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526503_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526524_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526541_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526730_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526823_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526843_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746526855_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=ppt, deskripsi=ppt, jenis_file=ppt, file_path=Uploads/materi/1746528512_Pertemuan 1.pptx
Inserted: id_guru=1, judul=Mars UPGRI, deskripsi=Menghafalkan mars UPGRI, jenis_file=video, file_path=Uploads/materi/1746528982_0.2 MARS UPGRI PONTIANAK.mp4
Inserted: id_guru=1, judul=test, deskripsi=test, jenis_file=video, file_path=Uploads/materi/1746533078_0.0 animasi banner fix.mp4
Inserted: id_guru=1, judul=pdf, deskripsi=pdf, jenis_file=dokumen, file_path=Uploads/materi/1746534594_RENCANA PEMBELAJARAN  - MICROTEACHING.pdf
Inserted: id_guru=1, judul=Belajar PHP Dasar, deskripsi=Modul Belajar PHP Dasar, jenis_file=dokumen, file_path=Uploads/materi/1746577407_PHP Dasar Tutorial.pdf
Inserted: id_guru=1, judul=Video Belajar PHP untuk PEMULA, deskripsi=Video pembahasan materi PHP dasar untuk pemula, jenis_file=video, file_path=Uploads/materi/1746577557_Belajar PHP untuk PEMULA - 1. Intro.mp4
Inserted: id_guru=1, judul=Modul PHP Dasar, deskripsi=Materi tentang php dasar, jenis_file=dokumen, file_path=Uploads/materi/1746587009_E-Learning fix.pdf
